advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
agent,Available Now,bold,2,,13876483,Canada Water,SE16,£750pcm,£174pw,flat,,3,,new,King Sized Double Room in Rotherhithe,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14519113,Bethnal Green,E2,£737- £780pcm,£170- £180pw,flat,,4,,new,Beautiful Rooms in Bethnal Green,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14330362,Blackwall,E14,£750pcm,£174pw,flat,,3,,new,Large Double in an Outstanding Location Canary ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,bold,2,,14492167,Clapham Common,SW4,£700- £800pcm,£162- £185pw,flat,,3,,new,Two double rooms in a super location,offered,False,2020-01-27 02:47:34.811272
agent, 6 Mar,bold,2,,14486848,London E1,E1,£737pcm,£170pw,flat,,6,,new,"Lovely double room in amazing location, E1 ",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14185951,Clapton,E5,£650- £750pcm,£150- £174pw,house,,10,,new,Great double room in creative warehouse Clapton,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14529472,Bethnal Green,E2,£694- £824pcm,£160- £190pw,flat,,5,,new,# Big Double Rooms Available - Bethnal Green#,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,14017378,East Putney,SW15,£750pcm,£174pw,house,,6,,new,Double room in Putney ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,0,,2879071,Whitechapel,E1,£750pcm,£173pw,property,,2,,new,Central London Zone 1 very close to Tower Bridge,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14487286,Kingston Vale,SW15,£750pcm,£174pw,flat,,2,,new,Beautiful Large Double Room in Putney SW15,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,14017354,East Putney,SW15,£750pcm,£174pw,house,,6,,new,Double room in Putney ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14498734,Bethnal Green,E2,£750pcm,£173pw,flat,,5,,new,Last Cheap Double Room Near Victoria Park! Be Fast,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,14528947,Canada Water,SE16,£694- £759pcm,£160- £175pw,flat,,4,,new,⚡⚡Double R. ~Canada Wat~ No Deposit🌈🌈,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14528362,Heron Quays,E14,£650- £858pcm,£150- £198pw,flat,,4,,new,🐯South Quay/Heron Quays🐯Gold<>Empty Now<>,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14529163,Canary Wharf,E14,£737- £910pcm,£170- £210pw,flat,,3,,new,⚡⚡ENSUITE R. ~ Can. Wharf ~ Avail. Now🌈🌈,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14469028,Paddington,W2,£750pcm,£174pw,flat,,4,,new,Beautiful Double Rooms in Central London - A35,offered,False,2020-01-27 02:47:34.811272
agent, 5 Feb,bold,2,,14523604,Canary Wharf,E14,£650- £932pcm,£150- £215pw,flat,,4,,new,⚡⚡ENSUITE R. ~Can. Wharf~ No Deposit🌈🌈,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,2,,3323738,London W10,W10,£750pcm,£174pw,flat,,5,,new,New flatmate wanted for Queens Park Flatshare,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14450344,Poplar,E14,£675- £925pcm,£156- £214pw,house,,4,,new,Brand New House 10 mins away from C.WHARF,offered,False,2020-01-27 02:47:34.811272
live out landlord,4 Feb,featured,0,,4753579,Manor House,N4,£725pcm,£168pw,house,,6,,new today,Large Double Room  Near Manor House Station,offered,False,2020-01-27 02:47:34.811272
live out landlord,16 Feb,bold,2,,2733182,New Cross Gate,SE14,£725pcm,£168pw,house,,5,,new,A large double rm in hse 5 mins fr New X Gate stn,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14475637,Limehouse,E14,£750- £880pcm,£174- £204pw,flat,,3,,new,3 Large Rooms with Gym Access and Roof Terrace ,offered,False,2020-01-27 02:47:34.811272
agent,11 Mar,bold,2,,14505532,Shadwell,E1,£737pcm,£170pw,flat,,4,,new,Spacious Double Rm/Shadwell/Dlr to Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14378860,Canary Wharf,E14,£750pcm,£174pw,flat,,3,,new,Spacious Modern Furnished Room Available Now,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14421076,All Saints,E14,£675- £950pcm,£156- £220pw,flat,,4,,new,2 Double - 1 Single Bedroom in Susannah Street,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14484100,Rotherhithe,SE16,£750- £800pcm,£174- £185pw,flat,,3,,new,2 Fantastic Double rooms in a Friendly House share,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,2,,2696250,Stratford,E15,"£1,550 pcm",£1pw,house,,2,Y,new,Beautiful Newly Refurbed 2 bed Victorian house,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,2,,11730280,Kennington,SE17,£750pcm,£174pw,house,,3,,new,Large Double Room Available in Kennington,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14503633,Hackney,E5,"£3,000 pcm",£1pw,flat,,4,Y,new,"Hackney, E5, Wonderful 4 Bedroom Victorian House",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,12937114,Bow Church,E3,£750pcm,£174pw,flat,,4,,new,Large Double room*Clean propery*Bow*Devens road,offered,False,2020-01-27 02:47:34.811272
agent,25 Feb,featured,0,,4976194,Canada Water,SE16,£750pcm,£174pw,house,,7,,new,Double room - 1 minute to the station ,offered,False,2020-01-27 02:47:34.811272
agent,27 Mar,bold,2,,14419639,Hammersmith,W6,£730pcm,£169pw,flat,,4,,new,W6 flatshare. Refurb'd & ALL inc w/WiFi+cleaner Z2,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,8597089,Stepney Green,E1,£645- £795pcm,£149- £184pw,flat,,4,,new, 2 Room*Furnished*Garden* Stepney green .E1-Zone-2,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13428361,Wapping,E1,£650- £850pcm,£150- £196pw,flat,,4,,new,Wonderful Wapping Flatshare - 2 Rooms Left!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,8777326,Stepney Green,E1,£650- £825pcm,£150- £191pw,house,,4,,new,3 Modern Rooms*Furnished*Garden* Stepney green .E1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14411254,London N15,N15,£735pcm,£170pw,flat,,4,,new,Bright double room in a friendly flat  Manor House,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14527939,Aldgate East,E1,"£715- £1,019pcm",£165- £235pw,flat,,5,,new,ðŸ’°Now or Never*Cheap Double & SingleðŸ’°,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13579042,Stratford,E15,£598- £754pcm,£138- £174pw,flat,,2,,new,+ 3 Double  Rooms(2 Room for Couple)  in Leyton,offered,False,2020-01-27 02:47:34.811272
agent,15 Feb,bold,2,,10430737,Bermondsey,SE1,£737pcm,£170pw,flat,,4,,new,"Almost Zone 1, Nice Double Room in Bermondsey ",offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,14314165,Clapton,E5,£625- £800pcm,£145- £185pw,house,,2,,new,Simply Stylish Double&Single Room,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,10506868,Canada Water,SE16,£694- £737pcm,£160- £170pw,flat,,4,,new,"Zone 2,Stunning,Excellent Transport, All Included ",offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,0,,12813898,Stepney Green,E1,£650- £824pcm,£150- £190pw,house,,4,,new,Cosy fresh new refurbished house near the park,offered,False,2020-01-27 02:47:34.811272
current flatmate,24 Feb,bold,2,,14339185,Deptford,SE8,£750pcm,£174pw,flat,,2,,new,Double Room w/ Own Shower in Unique Flat - Weekday,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,2,,13778839,Bermondsey,SE1,£737- £954pcm,£170- £220pw,flat,,4,,new,Massive Double Room,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14433997,Stratford,E15,£700- £800pcm,£162- £185pw,flat,,7,,new,En suite Double room 7 minute to Stratford Station,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14499412,North Acton,NW10,£650- £730pcm,£150- £169pw,flat,,5,,new,Newly refur spacious rooms 10m North Acton,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14499655,Hackney,E8,£694- £910pcm,£160- £210pw,flat,,6,,new,🏆London Fields-2 Bright Dbl/1 Cosy Single🏆,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,bold,2,,14434096,London E9,E9,£750pcm,£174pw,flat,,3,,new,1 Bedroom in Amazing London Fields Warehouse,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14499481,Canary Wharf,E14,£672- £824pcm,£155- £190pw,flat,,4,,new,Large Double Room-Cosy Single/Crossharbour,offered,False,2020-01-27 02:47:34.811272
agent,21 Feb,bold,2,,14527366,Stratford,E15,£700- £820pcm,£162- £190pw,flat,,3,,new,3 Double rooms coming available in Stratford 3 bed,offered,False,2020-01-27 02:47:34.811272
current flatmate,19 Feb,bold,2,,14390350,St John's Wood,NW8,£725pcm,£168pw,flat,,4,,new,***Bright double room in stylish flat - ALL BILLS ,offered,False,2020-01-27 02:47:34.811272
agent,29 Feb,bold,2,,14501800,Little Venice,W9,£737pcm,£170pw,flat,,4,,new,Cosy Single in Little Venice - 5 mins to Tube,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14538586,Stepney Green,E1,£737pcm,£170pw,flat,,3,,new today,2 DBL Rooms Mins Walk From Stepney Green ST/QMUL,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14527180,Bow Road,E3,£724- £750pcm,£167- £173pw,flat,,4,,new,2 doubles in a modern house! Mile End/Bow Road,offered,False,2020-01-27 02:47:34.811272
agent, 3 Feb,bold,2,,14526097,Canary Wharf,E14,£750pcm,£174pw,flat,,3,,new,Fantastic Double Room! Secure Building!,offered,False,2020-01-27 02:47:34.811272
current flatmate, 4 Mar,bold,2,,11985859,Clapham,SW4,£730pcm,£169pw,house,,5,,new,Double room in spacious and friendly house,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,2,,9605341,Clapham Junction,SW11,£730pcm,£169pw,flat,,5,,new,One double room 5min walk to Clapham Junction St.,offered,False,2020-01-27 02:47:34.811272
agent,29 Feb,bold,2,,8292868,Rotherhithe,SE16,"£2,100 pcm",£1pw,flat,,3,Y,new,"Newly Refurbished Flat, Near River 3 Beds",offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,2,,14526673,Kentish Town,NW5,£725pcm,£168pw,flat,,4,,new,*Cosy double for single use close to the station,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14481562,Tufnell Park,N19,£730pcm,£169pw,flat,,3,,new,*NEW BARGA* Double Room 5 Min Walk Tufnell Park St,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10394290,Hackney,E5,£737pcm,£170pw,flat,,8,,new,Cheap/Low Dep Double Room in Hackney,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,9985390,Stepney Green,E1,£737pcm,£170pw,flat,,4,,new,Between Stepney and Bethnal ! Super Offer !,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10613665,London Bridge,SE1,£737pcm,£170pw,flat,,4,,new,"A large, double room close to London Bridge",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14538472,Camden Town,NW1,£700- £750pcm,£162- £174pw,flat,,2,,new today,Fantastic double rooms in Camden!! All bills inclu,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10217488,Bow Road,E3,£737pcm,£170pw,flat,,4,,new,"Bow, 15Min to Shoreditch to Be Crazy in the Night!",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10439713,Bermondsey,SE1,£737pcm,£170pw,flat,,4,,new,Nice Double Bedroom 5Min from Bermondsey,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,12977014,Cricklewood,NW2,£737pcm,£170pw,house,,5,,new,Big double room in Crickwood. NO FEES,offered,False,2020-01-27 02:47:34.811272
former flatmate, 8 Feb,bold,2,,11445214,Bethnal Green,E2,£710- £775pcm,£164- £179pw,flat,,3,,new,"2 x Double rooms - 1 minute to tube, quiet estate",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10909687,Poplar,E14,£737pcm,£170pw,flat,,5,,new,Amazing Double room available in Poplar! No FEES,offered,False,2020-01-27 02:47:34.811272
agent, 9 Feb,bold,2,,13093105,Docklands,E14,£750pcm,£174pw,house,,4,,new,Large Double- Garden & Parking- Dining Area - E14,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10581484,Canary Wharf,E14,£737pcm,£170pw,flat,,5,,new,Big Double in Airy Flat! with Living Room! Bills!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14513344,Clapham Common,SW4,£750pcm,£174pw,flat,,5,,new,"Nice dbl rm great location, 10 min  Clapham Common",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14477410,Mile End,E3,£694- £802pcm,£160- £185pw,flat,,4,,new,Beautiful rooms near the Queen Mary and Mile End,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14521165,Putney,SW15,£750pcm,£174pw,flat,,4,,new,Double Room in Great Flat near Putney Bridge,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,4,,14509696,Brixton,SW2,£720- £800pcm,£167- £185pw,flat,,5,,new,🆕 Next to Brixton Station! ASAP!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10400071,Archway,N19,£737pcm,£170pw,flat,,4,,new,Cosy Bedroom in North! Shared Lounge! Zone 2,offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,2,,14521213,Putney,SW15,£750pcm,£174pw,flat,,4,,new,Amazing Double Room Available in Putney ,offered,False,2020-01-27 02:47:34.811272
live out landlord,15 Feb,bold,3,,9027400,Chelsea,SW10,£750pcm,£174pw,flat,,3,,new,Chelsea apartment ,offered,False,2020-01-27 02:47:34.811272
current flatmate,14 Feb,bold,3,,14493721,Battersea,SW11,£736pcm,£170pw,flat,,3,,new,Double room in 3 bed Clapham/Battersea flat,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,3,,14524357,Harringay,N4,£607- £759pcm,£140- £175pw,house,,6,,new,"Good location !!! LOVELY double room ,single roo  ",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14522527,Stoke Newington,N16,£702- £902pcm,£162- £208pw,house,,5,,new,Luxury Double Room Brand New Stoke Newington N16,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,bold,3,,10020940,Highgate,N6,£750pcm,£174pw,flat,,4,,new,Double Bedroom in Highgate for a Single Person,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14523658,Aldgate East,E1,£737pcm,£170pw,flat,,4,,new,Amazing Double bedroom in E1 Available Now! Hurry!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14523343,Caledonian Road,N7,£715- £953pcm,£165- £220pw,flat,,4,,new,//  2 Rooms in Caledonian Road - Couple Welcome,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14329210,Rotherhithe,SE16,£750pcm,£174pw,flat,,3,,new,Great Double Bedrooms in SE16,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,4,,14516398,CLAPHAM,SW8,£690- £850pcm,£160- £197pw,flat,,5,,new,🆕 15M from Oxford Circus! Asap!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14522803,Liverpool Street,E1,£737pcm,£170pw,flat,,3,,new,Amazing Double bedroom in E1 Available Now! ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14522782,Willesden Green,NW10,£542- £802pcm,£125- £185pw,flat,,6,,new,Jubilee Line - Willesden Green - 5 Rooms,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,3,,14522665,Canada Water,SE16,£750pcm,£174pw,flat,,4,,new,Double room to rent ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14315512,Canada Water,SE16,£750pcm,£174pw,flat,,3,,new,King Sized Double Bedroom in Rotherhithe,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14020726,Limehouse,E14,£628- £758pcm,£145- £175pw,flat,,4,,new,Limehouse: Single & Dbl Rooms in 4Bed Flat,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14301961,Crossharbour,E14,£725- £950pcm,£168- £220pw,flat,,4,,new,Nice Double Bedroom En Suite in Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent,12 Feb,bold,3,,14522485,Westferry,E14,£750pcm,£174pw,flat,,4,,new,Huge Double Room with Private Balcony - Flat Share,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14514124,Mile End,E3,£724- £750pcm,£167- £173pw,flat,,4,,new,2 doubles in the same house! Mile End/Bow Road ,offered,False,2020-01-27 02:47:34.811272
agent,30 Jan,bold,3,,11674237,South Hackney,E9,£750pcm,£173pw,flat,,5,,new,Double Rooms to Let All Bills Included in Hackney,offered,False,2020-01-27 02:47:34.811272
agent, 5 Mar,bold,3,,13536139,Mudchute,E14,£735pcm,£170pw,house,,6,,new,Large Double Room to rent in 6 Bedroom House Share,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14368360,Gospel Oak,NW5,£695- £870pcm,£161- £201pw,flat,,4,,new,"Fantastic room -Juliet Balcony, Gospel Oak",offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,3,,13360141,London E9,E9,£750pcm,£174pw,flat,,5,,new,Double Room to Let in Hackney All  Bills Included ,offered,False,2020-01-27 02:47:34.811272
live out landlord, 6 Feb,bold,3,,3475052,Commercial Road,E1,£750pcm,£174pw,house,,6,,new,Double room available FEBRUARY,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Feb,bold,3,,14520895,Stoke Newington,N16,£730pcm,£169pw,flat,,4,,new,Double Room in Stokey,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14459857,Canary Wharf,E14,£750pcm,£174pw,flat,,4,,new,Modern Apartment-All Bills Paid-Furnished Room,offered,False,2020-01-27 02:47:34.811272
current flatmate,15 Feb,bold,3,,14429893,Clapham North,SW4,£730pcm,£169pw,flat,,3,,new,"Great room, right by Clapham North station",offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,3,,14499046,Kentish Town,NW5,£725pcm,£168pw,flat,,4,,new,@Double Room in Kentish Town,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,3,,10442689,Kensington,W14,£750pcm,£174pw,flat,,2,,new,Huge Double Room in nice 2 bed flat,offered,False,2020-01-27 02:47:34.811272
live out landlord,19 Feb,bold,3,,7376494,Hampstead,NW3,£750pcm,£174pw,flat,,3,,new,"Double Room, High Spec Flat, Large Lounge",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14498554,Canary Wharf,E14,"£715- £1,019pcm",£165- £235pw,flat,,4,,new,Brand New Building with 4 Rooms Rare Opportunity ,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Mar,bold,3,,3902096,Surrey Quays,SE8,£650- £780pcm,£150- £180pw,house,,5,,new,Ensuite & Double ROOM - Near Stn - ZN 2,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,2,,11341954,Whitechapel,E1,£672- £824pcm,£155- £190pw,house,,5,,new,Super clean lovely home - 4 rooms left,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,3,,4180085,Wandsworth,SW18,£750pcm,£174pw,house,,3,,new,Double room in a gay shared house in Wandsworth,offered,False,2020-01-27 02:47:34.811272
